epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1295.85,1.15462,1.1435,1.33073,0.73727,0.72833,0.78052,0.51828,1.11903,0.97715,1.30419,0.00406,0.00406,0.00406
32,2568.59,1.15821,1.14255,1.33154,0.7405,0.73057,0.7834,0.52121,1.11677,0.97054,1.30161,0.003862,0.003862,0.003862
33,3850.26,1.15326,1.13212,1.32712,0.74401,0.73205,0.78668,0.52475,1.11436,0.96325,1.29918,0.003664,0.003664,0.003664
34,5136.3,1.14954,1.12159,1.32263,0.74815,0.73233,0.7897,0.52803,1.112,0.95673,1.29698,0.003466,0.003466,0.003466
35,6430.6,1.14743,1.11152,1.31972,0.75127,0.73437,0.79275,0.53147,1.11005,0.94931,1.29477,0.003268,0.003268,0.003268
36,7754.66,1.1408,1.09819,1.31599,0.75482,0.7358,0.7952,0.53469,1.10823,0.94135,1.2929,0.00307,0.00307,0.00307
37,9102.46,1.13657,1.08898,1.31192,0.75673,0.74048,0.79884,0.53841,1.10593,0.93367,1.29021,0.002872,0.002872,0.002872
38,10448.9,1.13146,1.08165,1.30917,0.76076,0.74275,0.80262,0.54205,1.10347,0.92619,1.2877,0.002674,0.002674,0.002674
39,11781.6,1.12209,1.06768,1.30353,0.76512,0.74572,0.80611,0.54562,1.10117,0.9185,1.28533,0.002476,0.002476,0.002476
40,13103.8,1.11944,1.05916,1.30013,0.76852,0.74727,0.80919,0.54922,1.09856,0.91122,1.28257,0.002278,0.002278,0.002278
41,14396.8,1.09534,0.94235,1.298,0.77064,0.75063,0.81298,0.5535,1.09506,0.9019,1.27977,0.00208,0.00208,0.00208
42,15672.9,1.08485,0.91656,1.28988,0.775,0.75255,0.817,0.55844,1.09141,0.89159,1.27689,0.001882,0.001882,0.001882
43,16950.7,1.07359,0.89658,1.27932,0.78021,0.75389,0.82136,0.5633,1.08763,0.88148,1.27384,0.001684,0.001684,0.001684
44,18238.3,1.06497,0.87975,1.2719,0.78642,0.75417,0.82508,0.56743,1.08456,0.87158,1.27078,0.001486,0.001486,0.001486
45,19532,1.05285,0.85695,1.2637,0.78902,0.75808,0.82859,0.57185,1.08175,0.86186,1.2681,0.001288,0.001288,0.001288
46,20828.2,1.04408,0.83932,1.25463,0.79259,0.75949,0.83198,0.57581,1.079,0.85266,1.26523,0.00109,0.00109,0.00109
47,22117.3,1.03538,0.82255,1.24896,0.79615,0.76201,0.83559,0.57969,1.07612,0.84371,1.26245,0.000892,0.000892,0.000892
48,23396.9,1.02557,0.80304,1.2401,0.80266,0.76362,0.83913,0.58355,1.0735,0.83495,1.25924,0.000694,0.000694,0.000694
49,24680.2,1.01736,0.78846,1.23232,0.80678,0.76565,0.84246,0.58684,1.07115,0.82674,1.25628,0.000496,0.000496,0.000496
50,25971.5,1.00756,0.77156,1.22487,0.81026,0.7673,0.8452,0.58988,1.06883,0.81881,1.25309,0.000298,0.000298,0.000298
